Metric,Original_Mean,Original_CI_Lower,Original_CI_Upper,Original_CI_Width,Corrected_Mean,Corrected_CI_Lower,Corrected_CI_Upper,Corrected_CI_Width,Improvement
Accuracy,0.9177779433681074,0.8971311475409837,0.9388971684053651,0.041766020864381415,0.9640402384500745,0.9493293591654247,0.9791356184798807,0.02980625931445602,0.04626229508196711
Precision,0.8797462191944114,0.8409090909090909,0.9154529216113005,0.0745438307022096,0.94732164197149,0.9239073226544623,0.9678286142075474,0.04392129155308511,0.06757542277707862
Recall,0.9559920280525843,0.9316727644005786,0.9783331592242968,0.0466603948237182,0.9887032491930311,0.9768701371349143,0.9973342105263158,0.02046407339140144,0.03271122114044678
F1-Score,0.916563519123434,0.8940092165898618,0.9385131106184542,0.04450389402859245,0.9666844387904818,0.9523775067190406,0.9783627705627705,0.0259852638437299,0.05012091966704779
