Class,Precision_Original,Precision_Corrected,Recall_Original,Recall_Corrected,Precision_Improvement,Recall_Improvement
Normal,0.936231884057971,0.9901639344262295,0.9098591549295775,0.9526813880126183,0.053932050368258544,0.042822233083040784
SYN,0.8320610687022901,0.8902439024390244,0.8582677165354331,0.9931972789115646,0.058182833736734274,0.13492956237613152
UDP,0.9133858267716536,0.984375,0.9666666666666667,0.9692307692307692,0.07098917322834641,0.002564102564102555
ICMP,0.8970588235294118,0.9864864864864865,0.8840579710144928,0.948051948051948,0.08942766295707472,0.06399397703745524
