Class,Precision_Original_Mean,Precision_Original_CI_Lower,Precision_Original_CI_Upper,Precision_Corrected_Mean,Precision_Corrected_CI_Lower,Precision_Corrected_CI_Upper,Precision_Improvement,Recall_Original_Mean,Recall_Original_CI_Lower,Recall_Original_CI_Upper,Recall_Corrected_Mean,Recall_Corrected_CI_Lower,Recall_Corrected_CI_Upper,Recall_Improvement,F1_Original_Mean,F1_Original_CI_Lower,F1_Original_CI_Upper,F1_Corrected_Mean,F1_Corrected_CI_Lower,F1_Corrected_CI_Upper,F1_Improvement
Normal,0.9355128944232106,0.9101448992344946,0.9577099306316174,0.9899451825064519,0.977594107768243,1.0,0.0544322880832413,0.9094396212825886,0.8790972222222222,0.9381314010142189,0.9532402364180397,0.9293681465908155,0.9746453686960016,0.04380061513545108,0.9227490175874543,0.901692242114237,0.940249318851939,0.9713923982890992,0.9571064653635175,0.9841795603625256,0.04864338070164487
SYN,0.8303365732590751,0.7694973544973545,0.8850196869531402,0.8899996522416731,0.8393298173398508,0.9395856151880249,0.05966307898259804,0.8592973169319473,0.7898550724637681,0.9169956140350877,0.9933646658300451,0.9768174499045802,1.0,0.1340673488980978,0.8440380813943493,0.7861666666666667,0.8885310734463276,0.9390805868365504,0.9096881490134995,0.9669447646684688,0.09504250544220105
UDP,0.9143002308394188,0.8617886178861789,0.9565217391304348,0.9850029819832391,0.9570467943994105,1.0,0.0707027511438203,0.9673119648685845,0.935216826538769,0.9920963004624422,0.9702970484349249,0.9397630147630148,0.9928057553956835,0.0029850835663404185,0.9394812382532902,0.9075241550364639,0.9692407834783122,0.9774242195325146,0.9581495098039217,0.995903539570279,0.03794298127922435
ICMP,0.8958562392593872,0.8095461460446247,0.9652298850574713,0.9866673836957198,0.9555366549604917,1.0,0.09081114443633265,0.8814898596018743,0.8013380281690141,0.950546141282156,0.9491585365786864,0.8962521949078139,1.0,0.06766867697681211,0.8892606943371418,0.8303351351351351,0.9423682267146681,0.9666943078690425,0.9317884405670666,0.993103448275862,0.0774336135319007
