ts,switch_dpid,port_no,rx_packets,tx_packets,rx_bytes,tx_bytes,rx_dropped,tx_dropped,rx_errors,tx_errors,rx_frame_err,rx_over_err,rx_crc_err,collisions,duration_sec,duration_nsec
Sat Oct 11 19:53:34 2025,1,2,2,3,84,182,0,0,0,0,0,0,0,0,8,552000000
Sat Oct 11 19:53:34 2025,2,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,8,547000000
Sat Oct 11 19:53:34 2025,2,1,2,3,84,182,0,0,0,0,0,0,0,0,8,552000000
Sat Oct 11 19:53:34 2025,2,2,3,2,182,84,0,0,0,0,0,0,0,0,8,552000000
Sat Oct 11 19:53:35 2025,1,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,9,548000000
Sat Oct 11 19:53:35 2025,1,1,3,2,182,84,0,0,0,0,0,0,0,0,9,552000000
Sat Oct 11 19:53:35 2025,1,2,2,3,84,182,0,0,0,0,0,0,0,0,9,553000000
Sat Oct 11 19:53:35 2025,2,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,9,545000000
Sat Oct 11 19:53:35 2025,2,1,2,3,84,182,0,0,0,0,0,0,0,0,9,549000000
Sat Oct 11 19:53:35 2025,2,2,3,2,182,84,0,0,0,0,0,0,0,0,9,549000000
Sat Oct 11 19:53:36 2025,1,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,10,540000000
Sat Oct 11 19:53:36 2025,1,1,3,2,182,84,0,0,0,0,0,0,0,0,10,544000000
Sat Oct 11 19:53:36 2025,1,2,2,3,84,182,0,0,0,0,0,0,0,0,10,544000000
Sat Oct 11 19:53:36 2025,2,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,10,537000000
Sat Oct 11 19:53:36 2025,2,1,2,3,84,182,0,0,0,0,0,0,0,0,10,541000000
Sat Oct 11 19:53:36 2025,2,2,3,2,182,84,0,0,0,0,0,0,0,0,10,541000000
Sat Oct 11 19:53:37 2025,1,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,11,537000000
Sat Oct 11 19:53:37 2025,1,1,3,2,182,84,0,0,0,0,0,0,0,0,11,541000000
Sat Oct 11 19:53:37 2025,1,2,2,3,84,182,0,0,0,0,0,0,0,0,11,542000000
Sat Oct 11 19:53:37 2025,2,4294967294,0,0,0,0,1,0,0,0,0,0,0,0,11,535000000
Sat Oct 11 19:53:37 2025,2,1,2,3,84,182,0,0,0,0,0,0,0,0,11,539000000
