timestamp,flow_packet_count_sum,flow_packet_count_mean,flow_packet_count_std,flow_byte_count_sum,flow_byte_count_mean,flow_byte_count_std,flow_duration_sec_mean,flow_duration_sec_std,port_rx_packets_sum,port_rx_packets_mean,port_rx_packets_std,port_tx_packets_sum,port_tx_packets_mean,port_tx_packets_std,port_rx_bytes_sum,port_rx_bytes_mean,port_rx_bytes_std,port_tx_bytes_sum,port_tx_bytes_mean,port_tx_bytes_std,port_rx_dropped_sum,port_rx_dropped_mean,port_rx_dropped_std,port_tx_errors_sum,port_tx_errors_mean,port_tx_errors_std,table_active_count_sum,table_active_count_mean,table_active_count_std,table_lookup_count_sum,table_lookup_count_mean,table_lookup_count_std,table_matched_count_sum,table_matched_count_mean,table_matched_count_std,no_of_tcp_flows,no_of_udp_flows,no_of_icmp_flows,no_of_other_flows,no_of_total_flows,no_of_unique_src_addresses,no_of_unique_dst_addresses,no_of_unique_src_ports,no_of_unique_dst_ports,tcp_to_udp_ratio,flow_packets_per_flow,unique_src_to_dst_address_ratio,unique_src_to_dst_port_ratio,flow_packet_count_10s_mean,flow_byte_count_10s_mean,port_rx_packets_10s_mean,port_tx_packets_10s_mean,total_flows_10s,attack,port_tx_dropped_sum,port_rx_errors_sum,flow_packet_count_sum_diff,flow_byte_count_sum_diff,port_rx_packets_sum_diff,port_tx_packets_sum_diff,port_rx_bytes_sum_diff,port_tx_bytes_sum_diff,no_of_total_flows_diff,no_of_tcp_flows_diff,no_of_udp_flows_diff,no_of_icmp_flows_diff,no_of_other_flows_diff,no_of_unique_src_addresses_diff
2025-10-14 19:14:18,108,27.0,4.618802153517006,20096,5024.0,339.4819582835,41.0,0.0,985,164.16666666666666,127.38825168227511,967,161.16666666666666,125.05585418790545,1174042,195673.66666666666,288637.0233644095,1136466,189411.0,279116.8459975141,2,0.3333333333333333,0.0,0,0.0,0.0,4,1.0,0.0,344,86.0,70.13320659050652,344,86.0,70.13320659050652,0,0,0,4,4,0,0,0,0,0.0,21.6,0.0,0.0,27.0,5024.0,164.16666666666666,161.16666666666666,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-14 19:14:19,108,27.0,4.618802153517006,20096,5024.0,339.4819582835,42.0,0.0,985,164.16666666666666,127.38825168227511,967,161.16666666666666,125.05585418790545,1174042,195673.66666666666,288637.0233644095,1136466,189411.0,279116.8459975141,2,0.3333333333333333,0.0,0,0.0,0.0,4,1.0,0.0,344,86.0,70.13320659050652,344,86.0,70.13320659050652,0,0,0,4,4,0,0,0,0,0.0,21.6,0.0,0.0,27.0,5024.0,164.16666666666666,161.16666666666666,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-14 19:14:20,108,27.0,4.618802153517006,20096,5024.0,339.4819582835,43.0,0.0,985,164.16666666666666,127.38825168227511,967,161.16666666666666,125.05585418790545,1174042,195673.66666666666,288637.0233644095,1136466,189411.0,279116.8459975141,2,0.3333333333333333,0.0,0,0.0,0.0,4,1.0,0.0,344,86.0,70.13320659050652,344,86.0,70.13320659050652,0,0,0,4,4,0,0,0,0,0.0,21.6,0.0,0.0,27.0,5024.0,164.16666666666666,161.16666666666666,12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-14 19:14:22,1824,5.735849056603773,54.775360325639504,107824,339.0691823899371,3304.8044580942615,0.7547169811320755,3.6394560226039037,1250,416.6666666666667,382.87378250976303,855,285.0,259.0,616636,205545.33333333334,326953.55716880236,583010,194336.66666666666,314838.19534696446,1,0.3333333333333333,0.0,0,0.0,0.0,318,159.0,223.44574285494903,1586,793.0,106.06601717798213,1586,793.0,106.06601717798213,316,0,0,2,318,2,2,228,90,316.0,5.717868338557993,0.6666666666666666,2.5054945054945055,6.509090909090909,509.43030303030304,200.23809523809524,178.85714285714286,330,1,0.0,0.0,1716.0,87728.0,265.0,-112.0,-557406.0,-553456.0,314.0,316.0,0.0,0.0,-2.0,2.0
2025-10-14 19:14:23,2223,5.656488549618321,60.26012121682824,129958,330.6819338422392,3582.4793864289145,0.7913486005089059,3.315428753493914,1410,470.0,433.7914245348794,960,320.0,289.57900476381224,625508,208502.66666666666,329250.85255065525,588868,196289.33333333334,315916.4926200171,1,0.3333333333333333,0.0,0,0.0,0.0,393,196.5,276.4787514439401,1817,908.5,112.42997820866105,1817,908.5,112.42997820866105,391,0,0,2,393,2,2,277,116,391.0,5.6421319796954315,0.6666666666666666,2.3675213675213675,6.045643153526971,412.26832641770403,233.95833333333334,196.5,723,1,0.0,0.0,399.0,22134.0,160.0,105.0,8872.0,5858.0,75.0,75.0,0.0,0.0,0.0,0.0
2025-10-14 19:14:24,4162,4.418259023354564,75.68250707176807,237508,252.1316348195329,4353.361278668627,0.7441613588110403,2.3155306375301,2280,760.0,700.5711955254798,1511,503.6666666666667,463.41378198466793,673868,224622.66666666666,340523.3720104001,619430,206476.66666666666,323670.70188284473,1,0.3333333333333333,0.0,0,0.0,0.0,942,471.0,664.6803743153547,3467,1733.5,153.4421715174808,3467,1733.5,153.4421715174808,940,0,0,2,942,2,2,633,308,940.0,4.413573700954401,0.6666666666666666,2.0485436893203883,5.124924924924925,321.66846846846846,292.4074074074074,230.62962962962962,1665,1,0.0,0.0,1939.0,107550.0,870.0,551.0,48360.0,30562.0,549.0,549.0,0.0,0.0,0.0,0.0
2025-10-14 19:14:26,7019,4.4650127226463106,106.02798915781744,395390,251.52035623409668,5990.493890365664,0.7977099236641222,1.9266749152305065,3617,1205.6666666666667,1163.5748077942103,2181,727.0,668.4287546178725,747646,249215.33333333334,364287.3395238069,656678,218892.66666666666,332305.3270733609,1,0.3333333333333333,0.0,0,0.0,0.0,1572,786.0,1110.1576464628797,6088,3044.0,183.84776310850236,6088,3044.0,183.84776310850236,1570,0,0,2,1572,2,2,1009,562,1570.0,4.462174189446917,0.6666666666666666,1.7921847246891651,4.8044485634847085,287.60210071053444,383.73333333333335,280.26666666666665,3237,1,0.0,0.0,2857.0,157882.0,1337.0,670.0,73778.0,37248.0,630.0,630.0,0.0,0.0,0.0,0.0
2025-10-14 19:14:27,21192,7.563169164882227,183.71871235454,1171856,418.2212705210564,10151.39642845408,1.3418986438258387,2.081734122780547,11141,1856.8333333333333,2307.9404166196896,3898,649.6666666666666,687.7774833960958,1728666,288111.0,401444.1295637539,1298276,216379.33333333334,302148.12988775334,2,0.3333333333333333,0.0,0,0.0,0.0,2804,701.0,1062.1788926541517,17726,4431.5,225.4676621306627,17726,4431.5,225.4676621306627,2798,0,0,4,2802,2,2,1439,833,2798.0,7.560470924009989,0.6666666666666666,1.725419664268585,6.084451068057626,348.207319092565,629.25,341.8333333333333,6039,1,0.0,0.0,14173.0,776466.0,7524.0,1717.0,981020.0,641598.0,1230.0,1228.0,0.0,0.0,2.0,0.0
2025-10-14 19:14:28,11511,3.0769847634322374,109.7318070243585,644422,172.2592889601711,6167.662793806,1.4827586206896552,1.713280770219173,14877,2479.5,3282.4884919828737,5317,886.1666666666666,916.7711637408033,1933678,322279.6666666667,444321.7406761306,1375710,229285.0,317682.48906290065,2,0.3333333333333333,0.0,0,0.0,0.0,2779,1389.5,1963.6355313550425,9756,4878.0,294.15642097360376,9756,4878.0,294.15642097360376,3739,0,0,2,3741,2,2,1966,944,3739.0,3.076162479957242,0.6666666666666666,2.0804232804232803,4.925020458265139,278.96378887070375,1015.1388888888889,462.6666666666667,9776,1,0.0,0.0,-9681.0,-527434.0,3736.0,1419.0,205012.0,77434.0,939.0,941.0,0.0,0.0,-2.0,0.0
2025-10-14 19:14:29,58105,9.841632791327914,297.36203078909733,3173806,537.5687669376694,16245.068492831651,0.9142953929539296,2.007466727286214,26698,2966.4444444444443,3917.0576684263633,9042,1004.6666666666666,1087.899696663254,3148620,349846.6666666667,474971.9256356106,2125964,236218.22222222222,321326.82887901604,3,0.3333333333333333,0.0,0,0.0,0.0,6386,1064.3333333333333,1236.837849787379,50692,8448.666666666666,606.3374198139734,50692,8448.666666666666,606.3374198139734,5898,0,0,6,5904,2,2,2739,214,5898.0,9.839966130397968,0.6666666666666666,12.73953488372093,6.771115080377648,375.1505486093391,1596.3589743589744,634.1282051282051,15676,1,0.0,0.0,46594.0,2529384.0,11821.0,3725.0,1214942.0,750254.0,2163.0,2159.0,0.0,0.0,4.0,0.0
