timestamp,no_of_tcp_flows,no_of_udp_flows,no_of_icmp_flows,no_of_other_flows,total_flows,no_of_unique_src_addresses,no_of_unique_dst_addresses,no_of_unique_src_ports,no_of_unique_dst_ports,flow_packet_count_sum,flow_packet_count_mean,flow_packet_count_std,flow_byte_count_sum,flow_byte_count_mean,flow_byte_count_std,flow_duration_sec_mean,flow_duration_sec_std,port_rx_packets_sum,port_rx_packets_mean,port_rx_packets_std,port_tx_packets_sum,port_tx_packets_mean,port_tx_packets_std,port_rx_bytes_sum,port_rx_bytes_mean,port_tx_bytes_sum,port_tx_bytes_mean,port_rx_dropped_sum,port_tx_dropped_sum,port_rx_errors_sum,port_tx_errors_sum,table_active_count_sum,table_lookup_count_sum,table_matched_count_sum,table_active_count_mean,table_lookup_count_mean,table_matched_count_mean,flow_packet_count_10s_mean,flow_byte_count_10s_mean,port_rx_packets_10s_mean,port_tx_packets_10s_mean,total_flows_10s,attack,port_rx_bytes_std,port_tx_bytes_std,flow_packet_count_sum_diff,flow_byte_count_sum_diff,port_rx_packets_sum_diff,port_tx_packets_sum_diff,port_rx_bytes_sum_diff,port_tx_bytes_sum_diff,total_flows_diff,no_of_unique_src_addresses_diff
2025-10-12 13:49:23,0,0,0,4,4,0,0,0,0,84,21.0,1.1547005383792515,18440,4610.0,916.8322274731257,30.0,0.0,1616,269.3333333333333,209.2153595381244,1596,266.0,206.6272005327469,2049636,341606.0,2007644,334607.3333333333,2,0,0,0,4,326,326,1.0,81.5,81.5,21.0,4610.0,269.3333333333333,266.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-12 13:49:24,0,0,0,4,4,0,0,0,0,84,21.0,1.1547005383792515,18440,4610.0,916.8322274731257,31.0,0.0,1616,269.3333333333333,209.2153595381244,1596,266.0,206.6272005327469,2049636,341606.0,2007644,334607.3333333333,2,0,0,0,4,326,326,1.0,81.5,81.5,21.0,4610.0,269.3333333333333,266.0,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-12 13:49:25,0,0,0,4,4,0,0,0,0,84,21.0,1.1547005383792515,18440,4610.0,916.8322274731257,32.0,0.0,1616,269.3333333333333,209.2153595381244,1596,266.0,206.6272005327469,2049636,341606.0,2007644,334607.3333333333,2,0,0,0,4,326,326,1.0,81.5,81.5,21.0,4610.0,269.3333333333333,266.0,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-12 13:49:26,0,0,0,4,4,0,0,0,0,84,21.0,1.1547005383792515,18440,4610.0,916.8322274731257,33.0,0.0,1616,269.3333333333333,209.2153595381244,1596,266.0,206.6272005327469,2049636,341606.0,2007644,334607.3333333333,2,0,0,0,4,326,326,1.0,81.5,81.5,21.0,4610.0,269.3333333333333,266.0,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-12 13:49:27,0,0,0,4,4,0,0,0,0,84,21.0,1.1547005383792515,18440,4610.0,916.8322274731257,34.0,0.0,1616,269.3333333333333,209.2153595381244,1596,266.0,206.6272005327469,2049636,341606.0,2007644,334607.3333333333,2,0,0,0,4,326,326,1.0,81.5,81.5,21.0,4610.0,269.3333333333333,266.0,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-12 13:49:28,0,0,0,4,4,0,0,0,0,84,21.0,1.1547005383792515,18440,4610.0,916.8322274731257,35.0,0.0,1616,269.3333333333333,209.2153595381244,1596,266.0,206.6272005327469,2049636,341606.0,2007644,334607.3333333333,2,0,0,0,4,326,326,1.0,81.5,81.5,21.0,4610.0,269.3333333333333,266.0,24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-12 13:49:29,0,0,0,4,4,0,0,0,0,84,21.0,1.1547005383792515,18440,4610.0,916.8322274731257,36.0,0.0,1616,269.3333333333333,209.2153595381244,1596,266.0,206.6272005327469,2049636,341606.0,2007644,334607.3333333333,2,0,0,0,4,326,326,1.0,81.5,81.5,21.0,4610.0,269.3333333333333,266.0,28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-12 13:49:30,0,2,0,4,6,1,1,1,1,321,53.5,85.84346218553863,376784,62797.333333333336,138124.35546371492,24.666666666666668,19.106717841289925,2369,394.8333333333333,357.0038748622579,2315,385.8333333333333,346.9221334343871,3188172,531362.0,3094772,515795.3333333333,2,0,0,0,6,344,344,1.5,86.0,86.0,26.735294117647058,14878.35294117647,285.0208333333333,280.9791666666667,34,0,0.0,0.0,237.0,358344.0,753.0,719.0,1138536.0,1087128.0,2.0,1.0
2025-10-12 13:49:31,0,2,0,4,6,1,1,1,1,1255,209.16666666666666,289.24551278570715,1788992,298165.3333333333,451351.8320541822,25.666666666666668,19.106717841289925,2916,486.0,485.47502510427864,2837,472.8333333333333,468.93983267223814,4015236,669206.0,3884036,647339.3333333334,2,0,0,0,6,735,735,1.5,183.75,183.75,54.1,57371.4,307.35185185185185,302.2962962962963,40,0,0.0,0.0,934.0,1412208.0,547.0,522.0,827064.0,789264.0,0.0,0.0
2025-10-12 13:49:32,0,2,0,4,6,1,1,1,1,1744,290.6666666666667,415.550558496396,2528360,421393.3333333333,642324.5767362998,26.666666666666668,19.106717841289925,3362,560.3333333333334,594.4868936037755,3279,546.5,576.7476918029234,4689588,781598.0,4552340,758723.3333333334,2,0,0,0,6,735,735,1.5,183.75,183.75,84.95652173913044,104852.52173913043,332.65,326.71666666666664,46,0,0.0,0.0,489.0,739368.0,446.0,442.0,674352.0,668304.0,0.0,0.0
2025-10-12 13:49:33,0,2,0,4,6,1,1,1,1,2225,370.8333333333333,539.7626947711992,3255632,542605.3333333334,830133.745791524,27.666666666666668,19.106717841289925,3776,629.3333333333334,697.4483971353485,3682,613.6666666666666,676.8319338407923,5315556,885926.0,5161676,860279.3333333334,2,0,0,0,6,735,735,1.5,183.75,183.75,126.02083333333333,167925.16666666666,368.65,361.48333333333335,48,0,0.0,0.0,481.0,727272.0,414.0,403.0,625968.0,609336.0,0.0,0.0
2025-10-12 13:49:34,0,2,0,4,6,1,1,1,1,2646,441.0,648.5007324591083,3892184,648697.3333333334,994545.4666141042,28.666666666666668,19.106717841289925,4217,702.8333333333334,808.2871808130244,4112,685.3333333333334,784.7783551211556,5982348,997058.0,5811836,968639.3333333334,2,0,0,0,6,735,735,1.5,183.75,183.75,172.22,238683.04,412.0,403.4166666666667,50,0,0.0,0.0,421.0,636552.0,441.0,430.0,666792.0,650160.0,0.0,0.0
