timestamp,flow_packet_count_sum,flow_packet_count_mean,flow_packet_count_std,flow_byte_count_sum,flow_byte_count_mean,flow_byte_count_std,flow_duration_sec_mean,flow_duration_sec_std,port_rx_packets_sum,port_rx_packets_mean,port_rx_packets_std,port_tx_packets_sum,port_tx_packets_mean,port_tx_packets_std,port_rx_bytes_sum,port_rx_bytes_mean,port_rx_bytes_std,port_tx_bytes_sum,port_tx_bytes_mean,port_tx_bytes_std,port_rx_dropped_sum,port_rx_dropped_mean,port_rx_dropped_std,port_tx_errors_sum,port_tx_errors_mean,port_tx_errors_std,table_active_count_sum,table_active_count_mean,table_active_count_std,table_lookup_count_sum,table_lookup_count_mean,table_lookup_count_std,table_matched_count_sum,table_matched_count_mean,table_matched_count_std,no_of_tcp_flows,no_of_udp_flows,no_of_icmp_flows,no_of_other_flows,no_of_total_flows,no_of_unique_src_addresses,no_of_unique_dst_addresses,no_of_unique_src_ports,no_of_unique_dst_ports,tcp_to_udp_ratio,flow_packets_per_flow,unique_src_to_dst_address_ratio,unique_src_to_dst_port_ratio,flow_packet_count_10s_mean,flow_byte_count_10s_mean,port_rx_packets_10s_mean,port_tx_packets_10s_mean,total_flows_10s,attack_syn,attack_udp,attack_icmp,attack,port_tx_dropped_sum,port_rx_errors_sum,flow_packet_count_sum_diff,flow_byte_count_sum_diff,port_rx_packets_sum_diff,port_tx_packets_sum_diff,port_rx_bytes_sum_diff,port_tx_bytes_sum_diff,no_of_total_flows_diff,no_of_tcp_flows_diff,no_of_udp_flows_diff,no_of_icmp_flows_diff,no_of_other_flows_diff,no_of_unique_src_addresses_diff
2025-10-17 15:25:46,68,17.0,0.0,16984,4246.0,0.0,36.0,0.0,1355,225.83333333333334,175.87656656492547,1334,222.33333333333334,173.16658646132245,1722694,287115.6666666667,426660.30519731576,1690792,281798.6666666667,418722.3934010057,4,0.6666666666666666,0.0,0,0.0,0.0,4,1.0,0.0,490,122.5,121.83185133617563,490,122.5,121.83185133617563,0,0,0,4,4,0,0,0,0,0.0,13.6,0.0,0.0,17.0,4246.0,225.83333333333334,222.33333333333334,4,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-17 15:25:48,284,3.688311688311688,12.918020603893797,21968,285.2987012987013,1168.3890288604432,1.2857142857142858,5.889011048369629,810,270.0,247.78821602328065,740,246.66666666666666,220.09619109228888,861268,287089.3333333333,476710.22811067663,841372,280457.3333333333,465592.0588512366,3,1.0,0.0,0,0.0,0.0,77,38.5,53.033008588991066,440,220.0,203.64675298172568,440,220.0,203.64675298172568,75,0,0,2,77,75,1,75,1,75.0,3.641025641025641,37.5,37.5,4.345679012345679,480.8888888888889,240.55555555555554,230.44444444444446,81,1,0,0,1,0.0,0.0,216.0,4984.0,-545.0,-594.0,-861426.0,-849420.0,73.0,75.0,0.0,0.0,-2.0,75.0
2025-10-17 15:25:49,1108,5.08256880733945,38.36043671403595,66416,304.6605504587156,2384.115081734246,0.6926605504587156,3.629378497836286,1164,388.0,423.64135775441,871,290.3333333333333,277.5361838271423,880372,293457.3333333333,487700.69444827875,848434,282811.3333333333,469632.18626637314,4,1.3333333333333333,0.0,0,0.0,0.0,218,109.0,152.73506473629428,1113,556.5,214.2533546995239,1113,556.5,214.2533546995239,216,0,0,2,218,216,1,216,1,216.0,5.059360730593608,108.0,108.0,4.882943143812709,352.40133779264215,277.4166666666667,245.41666666666666,299,1,0,0,1,0.0,0.0,824.0,44448.0,354.0,131.0,19104.0,7062.0,141.0,141.0,0.0,0.0,0.0,141.0
2025-10-17 15:25:50,3505,4.123529411764705,69.82384051071105,195686,230.21882352941176,3926.002581217357,0.2917647058823529,1.923030818776977,2213,737.6666666666666,1004.7459048601958,1579,526.3333333333334,652.9366993310556,936934,312311.3333333333,520096.422661542,886618,295539.3333333333,491527.6979472605,8,2.6666666666666665,0.0,0,0.0,0.0,850,425.0,599.6265504461923,3194,1597.0,220.61731573020282,3194,1597.0,220.61731573020282,848,0,0,2,850,848,1,847,1,848.0,4.118683901292597,424.0,423.5,4.321148825065274,262.01392515230634,369.46666666666664,301.6,1149,1,0,0,1,0.0,0.0,2397.0,129270.0,1049.0,708.0,56562.0,38184.0,632.0,632.0,0.0,0.0,0.0,632.0
2025-10-17 15:25:51,3958,2.9647940074906365,64.05580719787143,219884,164.7071161048689,3578.0238886692546,0.5902621722846442,1.6069735138584749,2420,806.6666666666666,1114.2070423998107,2168,722.6666666666666,982.979823461974,947980,315993.3333333333,526077.4969881655,918376,306125.3333333333,509714.56533763424,12,4.0,0.0,0,0.0,0.0,1335,667.5,942.5733393216678,3625,1812.5,221.32442251138937,3625,1812.5,221.32442251138937,1333,0,0,2,1335,1333,1,1328,1,1333.0,2.962574850299401,666.5,664.0,3.5921900161030598,209.7173913043478,442.3333333333333,371.77777777777777,2484,1,0,0,1,0.0,0.0,453.0,24198.0,207.0,589.0,11046.0,31758.0,485.0,485.0,0.0,0.0,0.0,485.0
2025-10-17 15:25:56,3713,4.171910112359551,78.9127944716856,206414,231.92584269662922,4401.337193155943,0.9876404494382023,1.9719244381601113,2431,810.3333333333334,1111.9291044546558,2364,788.0,1080.718279664039,948442,316147.3333333333,525949.6390048512,928744,309581.3333333333,515053.2627266168,30,10.0,0.0,0,0.0,0.0,890,445.0,627.9108216936542,3645,1822.5,221.32442251138937,3645,1822.5,221.32442251138937,888,0,0,2,890,888,1,884,1,888.0,4.167227833894501,444.0,442.0,3.7293768545994066,210.79169139465876,602.5333333333333,514.8,3370,1,0,0,1,0.0,0.0,-245.0,-13470.0,11.0,196.0,462.0,10368.0,-445.0,-445.0,0.0,0.0,0.0,-445.0
2025-10-17 15:25:57,6982,7.227743271221532,107.53444030297901,388468,402.1407867494824,5990.6098476697625,0.2701863354037267,2.9947244402474085,11419,1268.7777777777778,2038.600364084252,6321,702.3333333333334,842.7296422934226,3082730,342525.55555555556,500052.86435313796,2760734,306748.22222222225,442145.70209541154,73,8.11111111111111,0.0,0,0.0,0.0,4,1.0,0.0,7294,1823.5,180.71063425635285,7294,1823.5,180.71063425635285,962,0,0,4,966,962,1,962,1,962.0,7.220268872802482,481.0,481.0,4.5087638376383765,253.42158671586716,852.375,585.125,4336,1,0,0,1,0.0,0.0,3269.0,182054.0,8988.0,3957.0,2134288.0,1831990.0,76.0,74.0,0.0,0.0,2.0,74.0
2025-10-17 15:25:58,23409,15.112330535829567,293.69357994046663,1277206,824.5358295674629,16025.793073597506,0.14783731439638476,1.9640083951196028,7025,2341.6666666666665,3780.455307675695,1806,602.0,788.8390203330462,1211250,403750.0,678914.7114888586,914856,304952.0,508361.13011519675,2,0.6666666666666666,0.0,0,0.0,0.0,2513,628.25,732.4422047734097,24191,6047.75,424.5416155494457,24191,6047.75,424.5416155494457,1545,0,0,4,1549,1387,1,1383,1,1545.0,15.102580645161291,693.5,691.5,7.347623966942149,405.31577134986225,1111.3333333333333,629.5416666666666,5808,1,0,0,1,0.0,0.0,16427.0,888738.0,-4394.0,-4515.0,-1871480.0,-1845878.0,583.0,583.0,0.0,0.0,0.0,425.0
2025-10-17 15:25:59,5686,11.580448065173115,171.42059250658608,312764,636.9938900203666,9439.040354519539,0.1955193482688391,3.060355502413975,3505,1168.3333333333333,1721.2810152131851,2775,925.0,1308.3994038518972,1006354,335451.3333333333,559124.9370376297,950830,316943.3333333333,527478.244458796,41,13.666666666666666,0.0,0,0.0,0.0,492,246.0,346.4823227814083,5698,2849.0,257.3868683519033,5698,2849.0,257.3868683519033,489,0,0,2,491,489,1,489,1,489.0,11.55691056910569,244.5,244.5,7.770596941292551,427.6306528531492,1208.875,708.875,6081,1,0,0,1,0.0,0.0,-17723.0,-964442.0,-3520.0,969.0,-204896.0,35974.0,-1058.0,-1056.0,0.0,0.0,-2.0,-898.0
2025-10-17 15:26:00,6575,4.061148857319333,106.27725403749274,360506,222.67201976528722,5834.822911276702,1.0185299567634343,1.8321810985973896,7701,1283.5,1705.8160217327072,6997,1166.1666666666667,1539.199196552112,2049650,341608.3333333333,509134.9692479065,1979654,329942.3333333333,491751.3937093282,98,16.333333333333332,0.0,0,0.0,0.0,1138,569.0,803.273303427918,6377,3188.5,260.92240225783604,6377,3188.5,260.92240225783604,1617,0,0,2,1619,1136,1,1134,1,1617.0,4.058641975308642,568.0,567.0,7.346423357664234,403.6849635036496,1277.8148148148148,830.7777777777778,6850,1,0,0,1,0.0,0.0,889.0,47742.0,4196.0,4222.0,1043296.0,1028824.0,1128.0,1128.0,0.0,0.0,0.0,647.0
