Metric,Original,Corrected,Improvement,Improvement %
Accuracy,0.8882265275707899,0.9239940387481371,0.03576751117734722,4.02684563758389
Precision,0.8592814371257484,0.9291784702549575,0.06989703312920903,8.13435855928774
Recall,0.9111111111111111,0.9265536723163842,0.015442561205273098,1.6949152542372912
F1-Score,0.884437596302003,0.9278642149929278,0.04342661869092479,4.910082845019197
ROC-AUC,0.9396914571071875,0.9669839063251883,0.02729244921800078,2.904405378124835
