Class,Precision_Original_Mean,Precision_Original_CI_Lower,Precision_Original_CI_Upper,Precision_Corrected_Mean,Precision_Corrected_CI_Lower,Precision_Corrected_CI_Upper,Precision_Improvement,Recall_Original_Mean,Recall_Original_CI_Lower,Recall_Original_CI_Upper,Recall_Corrected_Mean,Recall_Corrected_CI_Lower,Recall_Corrected_CI_Upper,Recall_Improvement
Normal,0.9438696566379756,0.9165259914255091,0.967804759138625,0.972987481975971,0.9541366345554092,0.9898485455794779,0.02911782533799534,0.8403145145968478,0.8025048082584292,0.8788071462006553,0.9143653046389161,0.8830959040959041,0.9423688811188811,0.07405079004206827
SYN,0.7278212130007651,0.6559423856398379,0.7953244797371303,0.857608674521785,0.8005248618784531,0.9082491278720076,0.12978746152101994,0.8901380786969504,0.8339028776978418,0.9411764705882353,0.9308678537836637,0.8861999619210814,0.9714431516636048,0.04072977508671327
UDP,0.8602576400535261,0.7970178073374813,0.9108536585365853,0.9395913519180319,0.898421763694424,0.9785779886728915,0.07933371186450577,0.9666938444131392,0.9304347826086956,0.9921259842519685,0.9686790401335266,0.936770397157721,0.9927303745239103,0.001985195720387356
ICMP,0.8439119143667888,0.746031746031746,0.928607879159012,0.8591993602117445,0.7817972972972973,0.9299213887979036,0.015287445844955672,0.7838669416032418,0.6917594275329396,0.8701298701298701,0.8834877145569796,0.8169258373205742,0.9477272727272726,0.09962077295373784
