Metric,Original_Mean,Original_CI_Lower,Original_CI_Upper,Original_CI_Width,Corrected_Mean,Corrected_CI_Lower,Corrected_CI_Upper,Corrected_CI_Width,Improvement
Accuracy,0.8838420268256334,0.8598733233979137,0.9061102831594635,0.046236959761549845,0.9237302533532041,0.9046199701937406,0.9434053651266765,0.03878539493293587,0.039888226527570736
Precision,0.8423346778747112,0.8016882796966551,0.8806937582345191,0.079005478537864,0.921893340591951,0.8945945945945946,0.9469531107462142,0.05235851615161968,0.07955866271723988
Recall,0.9236535974709118,0.8939313346228239,0.9503110731767512,0.056379738553927305,0.935194065397256,0.9074613045881703,0.9588265482145938,0.051365243626423474,0.011540467926344222
F1-Score,0.881733164617206,0.8549135814013002,0.9077604102936275,0.05284682889232728,0.9285021937454453,0.9075144508670521,0.9471061491859416,0.039591698318889534,0.046769029128239326
