Class,Precision_Original_Mean,Precision_Original_CI_Lower,Precision_Original_CI_Upper,Precision_Corrected_Mean,Precision_Corrected_CI_Lower,Precision_Corrected_CI_Upper,Precision_Improvement,Recall_Original_Mean,Recall_Original_CI_Lower,Recall_Original_CI_Upper,Recall_Corrected_Mean,Recall_Corrected_CI_Lower,Recall_Corrected_CI_Upper,Recall_Improvement,F1_Original_Mean,F1_Original_CI_Lower,F1_Original_CI_Upper,F1_Corrected_Mean,F1_Corrected_CI_Lower,F1_Corrected_CI_Upper,F1_Improvement
Normal,0.9369096928962963,0.9069764096662831,0.9621166644917134,0.9724300147746955,0.9537645490527701,0.9894754013592042,0.03552032187839915,0.8297479013472439,0.7891666666666667,0.8687621137840611,0.9233679174741298,0.8941531653165317,0.9526102603521942,0.09362001612688597,0.8813081000796338,0.8544303797468354,0.9063418803418803,0.9480449119515625,0.9301462722852513,0.965576499802472,0.0667368118719287
SYN,0.7237726847906684,0.6536062717770036,0.7906567432411313,0.8607701926189881,0.8051090419014948,0.9140139357250234,0.13699750782831976,0.8489861046534158,0.7930952380952381,0.9032600157109191,0.919383552531513,0.8753880718954249,0.959484649122807,0.07039744787809721,0.7817780340130074,0.7213114754098361,0.8327797202797202,0.8872365596914251,0.847042372881356,0.9225806451612903,0.10545852567841774
UDP,0.8516471705711947,0.7939997754827122,0.9132232112290312,0.9258585107513441,0.8780357142857143,0.9680436117936118,0.07421134018014941,0.9669276349082654,0.9298457472959686,0.9929369563043695,0.9612486845890419,0.9254398148148149,0.9865341012153093,-0.005678950319223497,0.9052618101608929,0.8679189379286091,0.9376361514522822,0.9436766658932195,0.9143866171003717,0.9685711539517767,0.038414855732326614
ICMP,0.7987903827846399,0.7049180327868853,0.8888888888888888,0.8955156761308956,0.8260968992248062,0.957386793881569,0.09672529334625568,0.8271876325375102,0.7351996527777778,0.913695652173913,0.9082170944581903,0.8428571428571429,0.971231884057971,0.08102946192068017,0.8140204733454367,0.7456540825285338,0.8776075268817204,0.904180329167821,0.8571428571428571,0.9518072289156626,0.09015985582238428
