Class,Precision_Original,Precision_Corrected,Recall_Original,Recall_Corrected,Precision_Improvement,Recall_Improvement
Normal,0.9365079365079365,0.973421926910299,0.8309859154929577,0.9242902208201893,0.03691399040236254,0.09330430532723155
SYN,0.7248322147651006,0.8598726114649682,0.8503937007874016,0.9183673469387755,0.13504039669986756,0.06797364615137391
UDP,0.8529411764705882,0.9259259259259259,0.9666666666666667,0.9615384615384616,0.07298474945533773,-0.00512820512820511
ICMP,0.8028169014084507,0.8974358974358975,0.8260869565217391,0.9090909090909091,0.09461899602744672,0.08300395256916993
