Metric,Original_Mean,Original_CI_Lower,Original_CI_Upper,Original_CI_Width,Corrected_Mean,Corrected_CI_Lower,Corrected_CI_Upper,Corrected_CI_Width,Improvement
Accuracy,0.8717973174366617,0.8435171385991058,0.8971684053651267,0.05365126676602083,0.9200715350223547,0.9016393442622951,0.9388971684053651,0.037257824143069995,0.04827421758569306
Precision,0.8423961649879925,0.8041527842851441,0.8794825974182651,0.07532981313312093,0.9340062527365167,0.9067007903930492,0.9566505222301811,0.04994973183713192,0.0916100877485242
Recall,0.8941378096318177,0.8588871286729093,0.926318429853899,0.06743130118098972,0.9124926360012731,0.8825172762514748,0.9387245335881325,0.05620725733665766,0.0183548263694554
F1-Score,0.8671395299493975,0.8392255064055099,0.8932038834951457,0.05397837708963582,0.9230566736906854,0.900422077922078,0.943502824858757,0.04308074693667907,0.05591714374128798
