Metric,Original,Corrected,Improvement,Improvement %
Accuracy,0.8658718330849479,0.9076005961251863,0.041728763040238426,4.819277108433732
Precision,0.8419452887537994,0.9244186046511628,0.0824733158973634,9.795567122827638
Recall,0.8793650793650793,0.8983050847457628,0.01894000538068341,2.1538273266842145
F1-Score,0.860248447204969,0.9111747851002865,0.05092633789531753,5.9199569683365505
ROC-AUC,0.909550561797753,0.9464346183321749,0.03688405653442195,4.055195838867885
